id,text,label
1,Thanks for the update—this was helpful!,clean
2,Buy followers now!!! Limited time offer http://spam.example,spam
3,You are so stupid. Just stop talking.,toxic
4,I’m going to find you and ruin your life.,harassment
5,I feel like hurting myself and I don’t know what to do.,self_harm
6,Check out my channel for free gifts!!!,spam
7,"I disagree, but I get your point.",clean
8,Nobody likes you. Go away.,toxic
9,Win a prize—click here now!,spam
10,Please stop messaging me. This is harassment.,harassment
11,I’m not safe right now. I might hurt myself.,self_harm
12,Could you clarify what you meant by that?,clean
